CustomerID,Name,Age,TotalSpend ($),Email
1,Andrea Bennett,53,5581,andrea.bennett@example.com
2,Darren Hensley,44,5327,darren.hensley@example.com
3,Stephanie Maxwell,33,1367,stephanie.maxwell@example.com
4,Clarence Jones,49,1693,clarence.jones@example.com
5,Jerry Diaz,46,9575,jerry.diaz@example.com
6,Kevin Williams,44,4489,kevin.williams@example.com
7,Elizabeth Mcguire,27,8840,elizabeth.mcguire@example.com
8,Erin Figueroa,38,7372,erin.figueroa@example.com
9,John Baker,29,4436,john.baker@example.com
10,Samantha Acevedo,40,4908,samantha.acevedo@example.com
11,Kevin Hernandez,25,2864,kevin.hernandez@example.com
12,John Haynes,52,8501,john.haynes@example.com
13,Donna Fuller,50,9062,donna.fuller@example.com
14,Kristin Young,58,5340,kristin.young@example.com
15,Christine Jennings,39,8800,christine.jennings@example.com
16,Brett Haley,44,9949,brett.haley@example.com
17,Lauren Smith,44,3497,lauren.smith@example.com
18,Veronica Villarreal,37,2654,veronica.villarreal@example.com
19,Amber Cunningham,34,2749,amber.cunningham@example.com
20,Donald Farley,56,5065,donald.farley@example.com
21,Benjamin Roach,56,2900,benjamin.roach@example.com
22,Mr. Luke Jennings,34,4076,mr..luke.jennings@example.com
23,Timothy Wiley,59,3868,timothy.wiley@example.com
24,Crystal Morse,55,1782,crystal.morse@example.com
25,Martha Rose DDS,25,8788,martha.rose.dds@example.com
26,Jonathan Harvey,55,2174,jonathan.harvey@example.com
27,Mark Owen,52,3165,mark.owen@example.com
28,Lisa Williams,24,9162,lisa.williams@example.com
29,Amanda Lang,44,3925,amanda.lang@example.com
30,Ashlee Richards,31,4174,ashlee.richards@example.com
31,Kimberly Perry,29,3865,kimberly.perry@example.com
32,Samantha Bell,43,6835,samantha.bell@example.com
33,Ashley Kelly,21,9405,ashley.kelly@example.com
34,Brian Silva,28,9310,brian.silva@example.com
35,Rebecca Allen,29,4435,rebecca.allen@example.com
36,Jade Johnston,31,6178,jade.johnston@example.com
37,Ashley Thompson,37,7614,ashley.thompson@example.com
38,Valerie Patrick,48,6045,valerie.patrick@example.com
39,Kathryn Moran,64,8993,kathryn.moran@example.com
40,Ronald Leonard,50,7221,ronald.leonard@example.com
41,David White,28,6475,david.white@example.com
42,Laura Campos,61,9673,laura.campos@example.com
43,Alicia Kim,24,3382,alicia.kim@example.com
44,Jennifer Chapman,29,8497,jennifer.chapman@example.com
45,Heather Mata,36,2161,heather.mata@example.com
46,Jeanette Moore,21,5787,jeanette.moore@example.com
47,Debbie Hernandez,31,1828,debbie.hernandez@example.com
48,Sheila Jacobs,35,6975,sheila.jacobs@example.com
49,Debbie Hooper,61,5142,debbie.hooper@example.com
50,Julie Meyer,34,8081,julie.meyer@example.com
51,Sarah Walker,36,6586,sarah.walker@example.com
52,Linda Mercado,33,9156,linda.mercado@example.com
53,Rebecca Leonard,44,6476,rebecca.leonard@example.com
54,Katelyn Howe,25,652,katelyn.howe@example.com
55,Amanda Wood,29,1378,amanda.wood@example.com
56,Daniel Davis,47,2646,daniel.davis@example.com
57,Henry Price,63,7146,henry.price@example.com
58,Yvonne Simmons,24,9023,yvonne.simmons@example.com
59,Charles Yu,32,8408,charles.yu@example.com
60,Kenneth Romero,42,1774,kenneth.romero@example.com
61,Bobby Smith,36,8630,bobby.smith@example.com
62,Jesus Owens,47,5090,jesus.owens@example.com
63,Cynthia Payne,51,1992,cynthia.payne@example.com
64,Chase Price,32,7347,chase.price@example.com
65,Wendy Reynolds,60,5022,wendy.reynolds@example.com
66,Raymond Black,48,1275,raymond.black@example.com
67,Susan Carpenter,21,4285,susan.carpenter@example.com
68,Kenneth Jones,36,3755,kenneth.jones@example.com
69,Samantha Davis,24,6507,samantha.davis@example.com
70,Melissa Campos,59,6693,melissa.campos@example.com
71,Mackenzie Johnson,40,6131,mackenzie.johnson@example.com
72,Joshua Wright,32,5084,joshua.wright@example.com
73,Dominique Ellis,22,7613,dominique.ellis@example.com
74,Anna Haynes,45,6872,anna.haynes@example.com
75,Kari Coleman,29,1546,kari.coleman@example.com
76,Marco Walker,26,6521,marco.walker@example.com
77,Nicole Johnson,24,8115,nicole.johnson@example.com
78,Nathaniel Lee,44,6835,nathaniel.lee@example.com
79,Kelly Porter,33,7742,kelly.porter@example.com
80,Ashley Rios,36,2803,ashley.rios@example.com
81,Jennifer Brooks,32,9692,jennifer.brooks@example.com
82,Mario Leonard,28,3000,mario.leonard@example.com
83,Grace Miller,60,8250,grace.miller@example.com
84,Victoria Schroeder,51,8466,victoria.schroeder@example.com
85,Jennifer Trujillo,39,8485,jennifer.trujillo@example.com
86,Dr. Matthew Ramirez MD,35,7317,dr..matthew.ramirez.md@example.com
